t,d,atr_m,rr,exit,trail_act,trail_dist,max_hold
2025.06.30 12:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.07.03 12:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.07.03 19:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.07.07 16:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.07.09 11:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.07.10 17:00,1,0.799909,3.0000,0,1.0000,0.5000,36
2025.07.16 11:00,1,0.734541,3.0000,0,1.0000,0.5000,36
2025.07.17 11:00,1,0.734541,3.0000,0,1.0000,0.5000,36
2025.07.22 11:00,1,0.734541,3.0000,0,1.0000,0.5000,36
2025.07.25 20:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.07.29 11:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.07.31 20:00,1,0.718408,3.0000,0,1.0000,0.5000,36
2025.08.01 11:00,1,0.718408,3.0000,0,1.0000,0.5000,36
2025.08.05 07:00,1,0.718408,3.0000,0,1.0000,0.5000,36
2025.08.05 11:00,1,0.718408,3.0000,0,1.0000,0.5000,36
2025.08.06 10:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.08.08 20:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.08.12 11:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.08.22 13:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.08.27 07:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.08.29 11:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.09.01 20:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.09.03 07:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.09.04 09:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.09.09 12:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.09.11 09:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.09.12 07:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.09.15 11:00,1,0.738479,3.0000,1,1.0000,0.5000,36
2025.09.19 19:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.09.22 07:00,1,0.700000,3.0000,1,1.0000,0.5000,36
2025.09.25 11:00,1,0.735849,3.0000,1,1.0000,0.5000,36
2025.09.26 07:00,1,0.735849,3.0000,1,1.0000,0.5000,36
2025.09.30 07:00,1,0.735849,3.0000,1,1.0000,0.5000,36
2025.10.02 15:00,1,0.738479,2.5000,1,1.0000,0.5000,36
