entry,exit,dir,entry_px,exit_px,pnl_pips,r,reason
2025-05-01 16:00:00,2025-05-02 06:00:00,LONG,1.12829,1.13242,41.3,2.5,tp
2025-05-08 20:00:00,2025-05-09 02:00:00,LONG,1.12296,1.12119,-17.7,-1.0,sl
2025-05-12 09:00:00,2025-05-12 10:00:00,LONG,1.11383,1.11181,-20.2,-1.0,sl
2025-05-12 13:00:00,2025-05-12 16:00:00,LONG,1.11161,1.10936,-22.5,-1.0,sl
2025-05-16 17:00:00,2025-05-18 23:00:00,LONG,1.11495,1.11815,31.9,2.5,tp
2025-05-22 13:00:00,2025-05-22 14:00:00,LONG,1.1302,1.12875,-14.5,-1.0,sl
2025-05-22 18:00:00,2025-05-23 01:00:00,LONG,1.12714,1.13164,45.0,3.0,tp
2025-05-27 18:00:00,2025-05-28 01:00:00,LONG,1.13353,1.13237,-11.6,-1.0,sl
2025-05-30 19:00:00,2025-06-02 00:00:00,SHORT,1.13623,1.13762,-13.8,-1.0,sl
2025-06-06 14:00:00,2025-06-09 02:00:00,LONG,1.13947,1.14258,31.1,2.5,tp
2025-06-10 08:00:00,2025-06-10 11:00:00,LONG,1.1396,1.14317,35.7,3.0,tp
2025-06-10 15:00:00,2025-06-11 01:00:00,LONG,1.14299,1.14174,-12.5,-1.0,sl
2025-06-17 19:00:00,2025-06-18 07:00:00,LONG,1.14824,1.15217,39.3,2.5,tp
2025-06-18 11:00:00,2025-06-18 15:00:00,LONG,1.14956,1.15237,28.2,2.5,tp
2025-06-23 12:00:00,2025-06-23 14:00:00,LONG,1.14771,1.15114,34.3,2.5,tp
2025-06-25 20:00:00,2025-06-26 03:00:00,LONG,1.16618,1.16989,37.0,3.0,tp
2025-06-27 13:00:00,2025-06-27 14:00:00,LONG,1.17523,1.17381,-14.2,-1.0,sl
2025-07-03 17:00:00,2025-07-07 06:00:00,LONG,1.17564,1.17578,1.4,0.09,timeout
2025-07-07 10:00:00,2025-07-07 11:00:00,LONG,1.17385,1.17292,-9.3,-1.0,sl
2025-07-07 20:00:00,2025-07-07 21:00:00,LONG,1.17233,1.17111,-12.2,-1.0,sl
2025-07-08 17:00:00,2025-07-09 11:00:00,LONG,1.17123,1.16991,-13.2,-1.0,sl
2025-07-17 12:00:00,2025-07-17 22:00:00,LONG,1.15808,1.16157,34.9,2.5,tp
2025-07-21 12:00:00,2025-07-21 13:00:00,LONG,1.16727,1.16626,-10.1,-1.0,sl
2025-07-25 14:00:00,2025-07-27 23:00:00,LONG,1.17275,1.17616,34.1,3.0,tp
2025-07-28 09:00:00,2025-07-28 10:00:00,LONG,1.16836,1.16706,-13.0,-1.0,sl
2025-07-29 08:00:00,2025-07-29 11:00:00,LONG,1.15567,1.15432,-13.5,-1.0,sl
2025-07-29 14:00:00,2025-07-29 15:00:00,LONG,1.15513,1.15361,-15.2,-1.0,sl
2025-08-14 15:00:00,2025-08-14 16:00:00,LONG,1.16659,1.16533,-12.6,-1.0,sl
2025-08-14 19:00:00,2025-08-15 06:00:00,LONG,1.16455,1.16762,30.7,2.5,tp
2025-08-18 13:00:00,2025-08-18 14:00:00,LONG,1.16795,1.1671,-8.5,-1.0,sl
2025-08-21 08:00:00,2025-08-21 11:00:00,LONG,1.16618,1.16494,-12.4,-1.0,sl
2025-08-28 11:00:00,2025-08-28 13:00:00,LONG,1.16754,1.16654,-10.1,-1.0,sl
2025-08-29 15:00:00,2025-08-29 16:00:00,LONG,1.17082,1.16974,-10.8,-1.0,sl
2025-09-01 10:00:00,2025-09-01 11:00:00,SHORT,1.1722,1.17318,-9.9,-1.0,sl
2025-09-02 10:00:00,2025-09-02 12:00:00,LONG,1.16387,1.16273,-11.5,-1.0,sl
2025-09-04 13:00:00,2025-09-04 14:00:00,LONG,1.16509,1.16407,-10.2,-1.0,sl
2025-09-11 11:00:00,2025-09-11 12:00:00,LONG,1.16877,1.16797,-8.0,-1.0,sl
2025-09-12 10:00:00,2025-09-12 12:00:00,LONG,1.17261,1.17167,-9.4,-1.0,sl
2025-09-19 13:00:00,2025-09-22 09:00:00,LONG,1.17412,1.1776,34.8,2.5,tp
2025-09-22 14:00:00,2025-09-22 16:00:00,SHORT,1.17758,1.17874,-11.6,-1.0,sl
2025-09-24 15:00:00,2025-09-24 16:00:00,LONG,1.17467,1.1735,-11.8,-1.0,sl
2025-10-01 08:00:00,2025-10-01 12:00:00,SHORT,1.1755,1.17668,-11.7,-1.0,sl
2025-10-02 14:00:00,2025-10-02 15:00:00,LONG,1.17233,1.17127,-10.6,-1.0,sl
2025-10-06 09:00:00,2025-10-06 10:00:00,LONG,1.167,1.16573,-12.6,-1.0,sl
2025-10-10 17:00:00,2025-10-10 20:00:00,SHORT,1.1609,1.16216,-12.6,-1.0,sl
2025-10-13 08:00:00,2025-10-13 11:00:00,SHORT,1.16036,1.15761,27.5,2.5,tp
2025-10-14 21:00:00,2025-10-15 06:00:00,LONG,1.16077,1.16396,31.9,2.5,tp
2025-10-16 17:00:00,2025-10-16 18:00:00,SHORT,1.16809,1.16928,-11.9,-1.0,sl
2025-10-20 12:00:00,2025-10-20 13:00:00,LONG,1.16618,1.16516,-10.2,-1.0,sl
2025-10-23 08:00:00,2025-10-23 12:00:00,SHORT,1.16023,1.16089,-6.6,-1.0,sl
2025-10-24 09:00:00,2025-10-24 10:00:00,SHORT,1.16117,1.16193,-7.6,-1.0,sl
2025-10-28 10:00:00,2025-10-28 12:00:00,LONG,1.16604,1.1653,-7.5,-1.0,sl
2025-10-29 08:00:00,2025-10-29 09:00:00,LONG,1.1636,1.16287,-7.3,-1.0,sl
2025-11-05 17:00:00,2025-11-05 20:00:00,SHORT,1.14863,1.14953,-9.0,-1.0,sl
2025-11-06 15:00:00,2025-11-06 18:00:00,LONG,1.15234,1.15485,25.1,3.0,tp
2025-11-10 11:00:00,2025-11-10 12:00:00,SHORT,1.1566,1.15751,-9.1,-1.0,sl
2025-11-11 09:00:00,2025-11-11 10:00:00,SHORT,1.15567,1.15656,-8.9,-1.0,sl
2025-11-12 14:00:00,2025-11-12 15:00:00,SHORT,1.15754,1.15843,-8.9,-1.0,sl
2025-11-19 13:00:00,2025-11-19 15:00:00,SHORT,1.15808,1.15557,25.1,2.5,tp
2025-11-20 16:00:00,2025-11-20 19:00:00,SHORT,1.15327,1.15443,-11.6,-1.0,sl
2025-11-26 15:00:00,2025-11-28 03:00:00,LONG,1.15835,1.15902,6.7,0.46,timeout
2025-11-28 18:00:00,2025-12-01 03:00:00,LONG,1.16063,1.15954,-10.9,-1.0,sl
2025-12-01 08:00:00,2025-12-01 11:00:00,LONG,1.1609,1.16323,23.3,2.5,tp
2025-12-04 09:00:00,2025-12-04 10:00:00,LONG,1.16809,1.16728,-8.0,-1.0,sl
2025-12-15 15:00:00,2025-12-15 16:00:00,LONG,1.17675,1.17578,-9.7,-1.0,sl
2025-12-23 14:00:00,2025-12-23 15:00:00,LONG,1.17786,1.17695,-9.0,-1.0,sl
2025-12-26 15:00:00,2025-12-26 16:00:00,LONG,1.17869,1.17771,-9.8,-1.0,sl
2025-12-30 21:00:00,2025-12-31 04:00:00,LONG,1.17481,1.17402,-7.9,-1.0,sl
2026-01-12 11:00:00,2026-01-12 14:00:00,LONG,1.16891,1.16798,-9.3,-1.0,sl
2026-01-15 13:00:00,2026-01-15 14:00:00,LONG,1.16266,1.16199,-6.7,-1.0,sl
2026-01-19 21:00:00,2026-01-19 22:00:00,LONG,1.16482,1.16526,4.4,0.59,trail
2026-01-23 16:00:00,2026-01-23 17:00:00,LONG,1.17606,1.17965,36.0,4.19,trail
2026-02-06 14:00:00,2026-02-06 15:00:00,LONG,1.18133,1.1819,5.7,0.69,trail
2026-02-06 21:00:00,2026-02-06 22:00:00,LONG,1.18259,1.18181,-7.8,-1.0,sl
2026-02-09 09:00:00,2026-02-09 12:00:00,LONG,1.1868,1.18819,13.9,1.57,trail
2026-02-20 16:00:00,2026-02-20 17:00:00,LONG,1.17925,1.17815,-11.0,-1.0,sl
2026-02-23 08:00:00,2026-02-23 09:00:00,LONG,1.18273,1.18166,-10.8,-1.0,sl
2026-02-27 17:00:00,2026-03-02 00:00:00,LONG,1.18259,1.18132,-12.7,-1.0,sl
2026-03-04 12:00:00,2026-03-05 08:00:00,SHORT,1.16387,1.15877,51.1,2.5,tp
2026-03-06 08:00:00,2026-03-06 09:00:00,SHORT,1.16171,1.15807,36.4,2.5,tp
2026-03-09 20:00:00,2026-03-09 21:00:00,SHORT,1.16171,1.16372,-20.1,-1.0,sl
2026-03-10 18:00:00,2026-03-11 09:00:00,SHORT,1.16482,1.15992,49.1,3.0,tp
2026-03-18 12:00:00,2026-03-18 13:00:00,SHORT,1.15487,1.1524,24.7,2.5,tp
2026-03-19 15:00:00,2026-03-19 16:00:00,SHORT,1.15181,1.15341,-16.0,-1.0,sl
2026-03-27 15:00:00,2026-03-29 23:00:00,SHORT,1.15327,1.14966,36.1,3.0,tp
2026-03-30 09:00:00,2026-03-30 14:00:00,SHORT,1.14982,1.14644,33.8,3.0,tp
2026-03-31 08:00:00,2026-03-31 11:00:00,SHORT,1.14758,1.14848,-9.1,-1.0,sl
2026-04-03 14:00:00,2026-04-05 23:00:00,SHORT,1.15393,1.15166,22.7,3.0,tp
2026-04-10 15:00:00,2026-04-10 16:00:00,LONG,1.17316,1.172,-11.6,-1.0,sl
2026-04-10 20:00:00,2026-04-12 23:00:00,SHORT,1.17302,1.16968,33.4,3.0,tp
2026-04-17 08:00:00,2026-04-17 09:00:00,SHORT,1.17869,1.17933,-6.4,-1.0,sl
2026-04-17 12:00:00,2026-04-17 13:00:00,SHORT,1.1798,1.18045,-6.4,-1.0,sl
2026-04-21 14:00:00,2026-04-21 15:00:00,SHORT,1.17702,1.1748,22.3,3.0,tp
2026-04-29 08:00:00,2026-04-29 13:00:00,SHORT,1.17082,1.16878,20.4,3.0,tp
2026-05-05 19:00:00,2026-05-05 22:00:00,SHORT,1.17041,1.17118,-7.7,-1.0,sl
2026-05-06 10:00:00,2026-05-06 12:00:00,LONG,1.17799,1.17692,-10.8,-1.0,sl
2026-05-11 12:00:00,2026-05-11 13:00:00,SHORT,1.17716,1.17793,-7.6,-1.0,sl
2026-05-11 19:00:00,2026-05-11 20:00:00,SHORT,1.17786,1.17861,-7.5,-1.0,sl
2026-05-14 11:00:00,2026-05-14 13:00:00,SHORT,1.1711,1.16932,17.8,3.0,tp
2026-05-18 11:00:00,2026-05-18 12:00:00,SHORT,1.16306,1.16386,-8.0,-1.0,sl
2026-05-22 20:00:00,2026-05-24 23:00:00,SHORT,1.16104,1.16189,-8.6,-1.0,sl
2026-05-29 14:00:00,2026-05-29 15:00:00,SHORT,1.16509,1.16591,-8.1,-1.0,sl
2026-06-01 12:00:00,2026-06-01 13:00:00,SHORT,1.16509,1.1618,33.0,4.64,trail
2026-06-02 20:00:00,2026-06-02 23:00:00,SHORT,1.1636,1.16262,9.8,1.3,trail
2026-06-04 12:00:00,2026-06-04 13:00:00,LONG,1.16482,1.1641,-7.3,-1.0,sl
2026-06-10 13:00:00,2026-06-10 14:00:00,SHORT,1.15527,1.15629,-10.3,-1.0,sl
2026-06-10 20:00:00,2026-06-11 01:00:00,SHORT,1.15447,1.15558,-11.1,-1.0,sl
2026-06-22 10:00:00,2026-06-22 11:00:00,SHORT,1.146,1.14551,4.9,0.58,trail
2026-06-22 14:00:00,2026-06-22 15:00:00,LONG,1.14325,1.14486,16.2,1.68,trail
2026-07-03 10:00:00,2026-07-03 11:00:00,SHORT,1.14443,1.14533,-9.0,-1.0,sl
2026-07-07 21:00:00,2026-07-07 22:00:00,LONG,1.14273,1.14201,-7.2,-1.0,sl
2026-07-08 12:00:00,2026-07-08 17:00:00,LONG,1.14025,1.1429,26.5,3.0,tp
2026-07-13 14:00:00,2026-07-13 16:00:00,SHORT,1.14181,1.13897,28.4,3.0,tp
