datetime,open,high,low,close,volume
2024-06-10 02:00:00+00:00,1.07746,1.07749,1.07667,1.07675,2701.3
2024-06-10 03:00:00+00:00,1.07675,1.07683,1.07554,1.07555,2983.78
2024-06-10 04:00:00+00:00,1.07554,1.07557,1.07479,1.07541,3617.34
2024-06-10 05:00:00+00:00,1.07542,1.07555,1.0748,1.07535,3700.29
2024-06-10 06:00:00+00:00,1.07534,1.07586,1.0749,1.07518,7058.1
2024-06-10 07:00:00+00:00,1.07517,1.07663,1.07478,1.07644,11068.69
2024-06-10 08:00:00+00:00,1.07644,1.07681,1.07548,1.07566,10501.55
2024-06-10 09:00:00+00:00,1.07566,1.0759,1.07405,1.07432,14802.5
2024-06-10 10:00:00+00:00,1.07431,1.07439,1.07327,1.07369,12294.35
2024-06-10 11:00:00+00:00,1.07368,1.07547,1.07368,1.07536,4797.31
2024-06-10 12:00:00+00:00,1.07537,1.07603,1.07412,1.07412,11080.41
2024-06-10 13:00:00+00:00,1.07411,1.07491,1.07371,1.07401,14675.82
2024-06-10 14:00:00+00:00,1.07403,1.07447,1.07337,1.07337,9412.75
2024-06-10 15:00:00+00:00,1.07337,1.07502,1.07332,1.075,7040.6
2024-06-10 16:00:00+00:00,1.07501,1.07587,1.075,1.07541,9282.77
2024-06-10 17:00:00+00:00,1.0754,1.07604,1.07504,1.07595,8275.79
2024-06-10 18:00:00+00:00,1.07594,1.07623,1.07566,1.07616,9073.44
2024-06-10 19:00:00+00:00,1.07616,1.07656,1.07611,1.0763,5855.24
2024-06-10 20:00:00+00:00,1.07629,1.07664,1.07613,1.07648,2057.09
2024-06-10 21:00:00+00:00,1.07642,1.07655,1.07594,1.07654,1863.72
2024-06-10 22:00:00+00:00,1.07653,1.07681,1.07643,1.07652,1251.26
2024-06-10 23:00:00+00:00,1.07652,1.07653,1.07626,1.07633,2244.93
2024-06-11 00:00:00+00:00,1.07635,1.07648,1.07612,1.07636,4779.28
2024-06-11 01:00:00+00:00,1.07637,1.07681,1.07623,1.07667,5684.54
2024-06-11 02:00:00+00:00,1.07668,1.07688,1.07648,1.07678,3868.49
2024-06-11 03:00:00+00:00,1.07678,1.0769,1.07665,1.07685,3684.86
2024-06-11 04:00:00+00:00,1.07683,1.07705,1.07677,1.07683,3110.27
2024-06-11 05:00:00+00:00,1.07682,1.07699,1.07642,1.07655,5132.0
2024-06-11 06:00:00+00:00,1.07654,1.07734,1.07654,1.07681,6328.96
2024-06-11 07:00:00+00:00,1.0768,1.07694,1.0761,1.0764,10564.16
2024-06-11 08:00:00+00:00,1.07639,1.07645,1.07435,1.07452,13692.62
2024-06-11 09:00:00+00:00,1.07451,1.07537,1.07403,1.07507,16518.88
2024-06-11 10:00:00+00:00,1.07507,1.07563,1.07365,1.07409,14823.02
2024-06-11 11:00:00+00:00,1.07411,1.07415,1.07237,1.07289,13094.34
2024-06-11 12:00:00+00:00,1.0729,1.07363,1.07242,1.07323,13858.34
